ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
2402 017 050906,2402,017,2753 W NORTH AVE,05/09/2006,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30893561, -76.66279691)"
2402 021 081605,2402,021,2745 W NORTH AVE,08/16/2005,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30894611, -76.6625766)"
2402 024 121207,2402,024,2739 W NORTH AVE,12/12/2007,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30894114, -76.66242104)"
2402 025 022311,2402,025,2737 W NORTH AVE,02/23/2011,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30894657, -76.66236643)"
2402 026 030215,2402,026,1824 ASHBURTON ST,03/02/2015,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30872958, -76.66251414)"
2402 065 100606,2402,065,1711 N DUKELAND ST,10/06/2006,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30820965, -76.66332206)"
2382 002A 041615,2382,002A,922 ASHBURTON ST,04/16/2015,MOSHER,WESTERN,9,"(39.29883067, -76.66189728)"
2382 009 072512,2382,009,2713 MOSHER ST,07/25/2012,MOSHER,WESTERN,9,"(39.29905317, -76.66207762)"
2382 022 061008,2382,022,2739 MOSHER ST,06/10/2008,MOSHER,WESTERN,9,"(39.29902872, -76.6627949)"
2382 027 080712,2382,027,2749 MOSHER ST,08/07/2012,MOSHER,WESTERN,9,"(39.29902037, -76.66304785)"
2382 031 073007,2382,031,2757 MOSHER ST,07/30/2007,MOSHER,WESTERN,9,"(39.2990134, -76.66325955)"
2385 016 021111,2385,016,2830 W LANVALE ST,02/11/2011,MOSHER,WESTERN,9,"(39.2974628, -76.66362271)"
2385 017 021411,2385,017,2832 W LANVALE ST,02/14/2011,MOSHER,WESTERN,9,"(39.29746784, -76.66368302)"
2385 019 021411,2385,019,2836 W LANVALE ST,02/14/2011,MOSHER,WESTERN,9,"(39.29745545, -76.66379336)"
2385 030 042415,2385,030,2858 W LANVALE ST,04/24/2015,MOSHER,WESTERN,9,"(39.29742905, -76.66441845)"
2385 031 110804,2385,031,2860 W LANVALE ST,11/08/2004,MOSHER,WESTERN,9,"(39.29742249, -76.66447339)"
2385 037 081712,2385,037,2872 W LANVALE ST,08/17/2012,MOSHER,WESTERN,9,"(39.29737939, -76.66481035)"
2385 046 080610,2385,046,2875 W LAFAYETTE AVE,08/06/2010,MOSHER,WESTERN,9,"(39.29786166, -76.66484994)"
2385 060 062807,2385,060,2847 W LAFAYETTE AVE,06/28/2007,MOSHER,WESTERN,9,"(39.2978901, -76.66417986)"
2385 061 121807,2385,061,2845 W LAFAYETTE AVE,12/18/2007,MOSHER,WESTERN,9,"(39.29789211, -76.66413257)"
2385 066F 073009,2385,066F,2809 W LAFAYETTE AVE,07/30/2009,MOSHER,WESTERN,9,"(39.29787755, -76.66324607)"
2385 071 072512,2385,071,806 N DUKELAND ST,07/25/2012,MOSHER,WESTERN,9,"(39.29760055, -76.66304838)"
2386 001 062905,2386,001,2800 W LAFAYETTE AVE,06/29/2005,MOSHER,WESTERN,9,"(39.29828747, -76.66300317)"
2386 001C 100713,2386,001C,2812 W LAFAYETTE AVE,10/07/2013,MOSHER,WESTERN,9,"(39.29828049, -76.66318113)"
2386 002 082708,2386,002,2814 W LAFAYETTE AVE,08/27/2008,MOSHER,WESTERN,9,"(39.29829036, -76.66329023)"
2386 020 120106,2386,020,2853 PROSPECT ST,12/01/2006,MOSHER,WESTERN,9,"(39.29848753, -76.66433686)"
2386 021 072915,2386,021,2851 PROSPECT ST,07/29/2015,MOSHER,WESTERN,9,"(39.29848902, -76.66429384)"
2386 022 060409,2386,022,2849 PROSPECT ST,06/04/2009,MOSHER,WESTERN,9,"(39.29849054, -76.66425013)"
2387 025 011416,2387,025,2745 PROSPECT ST,01/14/2016,MOSHER,WESTERN,9,"(39.29854766, -76.6624091)"
2388 004 101510,2388,004,2806 RIGGS AVE,10/15/2010,WINCHESTER,SOUTHWESTERN,9,"(39.30056637, -76.6637892)"
2388 017 083005,2388,017,2832 RIGGS AVE,08/30/2005,WINCHESTER,SOUTHWESTERN,9,"(39.30053813, -76.66451905)"
2388 028 101408,2388,028,1115 POPLAR GROVE ST,10/14/2008,WINCHESTER,SOUTHWESTERN,9,"(39.300678, -76.66495835)"
2388 029 021511,2388,029,1117 POPLAR GROVE ST,02/15/2011,WINCHESTER,SOUTHWESTERN,9,"(39.30071611, -76.66496083)"
2388 030 010314,2388,030,1119 POPLAR GROVE ST,01/03/2014,WINCHESTER,SOUTHWESTERN,9,"(39.3007545, -76.66496341)"
2388 032 042613,2388,032,1123 POPLAR GROVE ST,04/26/2013,WINCHESTER,SOUTHWESTERN,9,"(39.30084425, -76.66496929)"
2388 033 020106,2388,033,1125 POPLAR GROVE ST,02/01/2006,WINCHESTER,SOUTHWESTERN,9,"(39.30091285, -76.66497378)"
2388 033A 021711,2388,033A,1127 POPLAR GROVE ST,02/17/2011,WINCHESTER,SOUTHWESTERN,9,"(39.30096754, -76.66497743)"
2388 033D 122606,2388,033D,1133 POPLAR GROVE ST,12/26/2006,WINCHESTER,SOUTHWESTERN,9,"(39.30108969, -76.66498543)"
2388 033F 010314,2388,033F,1137 POPLAR GROVE ST,01/03/2014,WINCHESTER,SOUTHWESTERN,9,"(39.30116745, -76.66499029)"
